Cost cache matrix +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M32 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M12 = 16.000000
